,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Current Assets,152987000000.0,143566000000.0,135405000000.0,134836000000.0,
Current Liabilities,176392000000.0,145308000000.0,153982000000.0,125481000000.0,
Inventory Sales (Revenues),391035000000.0,383285000000.0,394328000000.0,365817000000.0,
COGS,210352000000.0,214137000000.0,223546000000.0,212981000000.0,
Account Receivable,33410000000.0,29508000000.0,28184000000.0,26278000000.0,
Net Fixed Assets,211993000000.0,209017000000.0,217350000000.0,216166000000.0,
Total Assets,364980000000.0,352583000000.0,352755000000.0,351002000000.0,
Total Liabilities,308030000000.0,290437000000.0,302083000000.0,287912000000.0,
EBIT,123216000000.0,114301000000.0,119437000000.0,111852000000.0,
Interest,,-183000000.0,-106000000.0,198000000.0,890000000.0
Net Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Common Equity,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
