,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Current Assets,159734000000.0,184257000000.0,169684000000.0,184406000000.0
Current Liabilities,125286000000.0,104149000000.0,95082000000.0,88657000000.0
Inventory Sales (Revenues),245122000000.0,211915000000.0,198270000000.0,168088000000.0
COGS,74114000000.0,65863000000.0,62650000000.0,52232000000.0
Account Receivable,56924000000.0,48688000000.0,44261000000.0,38043000000.0
Net Fixed Assets,352429000000.0,227719000000.0,195156000000.0,149373000000.0
Total Assets,512163000000.0,411976000000.0,364840000000.0,333779000000.0
Total Liabilities,243686000000.0,205753000000.0,198298000000.0,191791000000.0
EBIT,110722000000.0,91279000000.0,85779000000.0,73448000000.0
Interest,222000000.0,1026000000.0,31000000.0,-215000000.0
Net Income,88136000000.0,72361000000.0,72738000000.0,61271000000.0
Common Equity,268477000000.0,206223000000.0,166542000000.0,141988000000.0
